specs,"GeForce
RTX 4090","GeForce
RTX 4080 SUPER","GeForce
RTX 4080","GeForce
RTX 4070 Ti SUPER","GeForce
RTX 4070 Ti","GeForce
RTX 4070 SUPER","GeForce
RTX 4070","GeForce
RTX 4060 Ti","GeForce
RTX 4060"
Standard Display Connectors,"HDMI(2), 3x DisplayPort(3)","HDMI(2), 3x DisplayPort(3)","HDMI(2), 3x DisplayPort(3)","HDMI(2), 3x DisplayPort(3)","HDMI(2), 3x DisplayPort(3)","HDMI(2), 3x DisplayPort(3)","HDMI(2), 3x DisplayPort(3)","HDMI(2), 3x DisplayPort(3)","HDMI(2), 3x DisplayPort(3)"
Multi Monitor,up to 4(4),up to 4(4),up to 4(4),up to 4(4),up to 4(4),up to 4(4),up to 4(4),up to 4(4),up to 4(4)
HDCP,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
,,,,,,,,,
Technology Support:,,,,,,,,,
NVIDIA Architecture,Ada Lovelace,Ada Lovelace,Ada Lovelace,Ada Lovelace,Ada Lovelace,Ada Lovelace,Ada Lovelace,Ada Lovelace,Ada Lovelace
Ray Tracing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NVIDIA DLSS,DLSS 3,DLSS 3,DLSS 3,DLSS 3,DLSS 3,DLSS 3,DLSS 3,DLSS 3,DLSS 3
NVIDIA Reflex,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NVIDIA Broadcast,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PCI Express Gen 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Resizable BAR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NVIDIA App,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NVIDIA FreeStyle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NVIDIA ShadowPlay,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NVIDIA Highlights,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NVIDIA G-SYNC®,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Game Ready Drivers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NVIDIA Studio Drivers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NVIDIA Omniverse,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
RTX Remix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Microsoft DirectX® 12 Ultimate,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NVIDIA GPU Boost™,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NVIDIA NVLink™ (SLI-Ready),No,No,No,No,No,No,No,No,No
"Vulkan RT API, OpenGL 4.6",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NVIDIA Encoder (NVENC),2x 8th Generation,2x 8th Generation,2x 8th Generation,2x 8th Generation,2x 8th Generation,1x 8th Generation,1x 8th Generation,1x 8th Generation,1x 8th Generation
NVIDIA Decoder (NVDEC),5th Generation,5th Generation,5th Generation,5th Generation,5th Generation,5th Generation,5th Generation,5th Generation,5th Generation
AV1 Encode,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AV1 Decode,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CUDA Capability,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9
VR Ready,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,
Card Dimensions:,,,,,,,,,
Length,304 mm,304 mm,304 mm,Varies by manufacturer,Varies by manufacturer,244 mm,244 mm,244 mm,Varies by manufacturer
Width,137 mm,137 mm,137 mm,Varies by manufacturer,Varies by manufacturer,112 mm,112 mm,112 mm,Varies by manufacturer
Slot,3-Slot,3-Slot,3-Slot,Varies by manufacturer,Varies by manufacturer,2-Slot,2-Slot,2-Slot,2-Slot
SFF-Ready Enthusiast GeForce Card,-,Varies by manufacturer,Varies by manufacturer,Varies by manufacturer,Varies by manufacturer,Founders Edition Yes Varies by manufacturer,Founders Edition Yes Varies by manufacturer,-,-
,,,,,,,,,
Thermal and Power Specs:,,,,,,,,,
Maximum GPU Temperature (in C),90,90,90,90,90,90,90,90,90
Total Graphics Power (W),450,320,320,285,285,220,200,165 or 160,115
Required System Power (W) (5),850,750,750,700,700,650,650,550,550
Required Power Connectors,"3x PCIe 8-pin cables (adapter in box) OR
1x 450 W or greater PCIe Gen 5 cable","3x PCIe 8-pin cables (adapter in box) OR
1x 450 W or greater PCIe Gen 5 cable","3x PCIe 8-pin cables (adapter in box) OR
1x 450 W or greater PCIe Gen 5 cable","2x PCIe 8-pin cables (adapter in box) OR
300 W or greater PCIe Gen 5 cable","2x PCIe 8-pin cables (adapter in box) OR
300 W or greater PCIe Gen 5 cable","2x PCIe 8-pin cables (adapter in box) OR 300 W or greater PCIe Gen 5 cable.
Certain manufacturer models may use 1x PCIe 8-pin cable","2x PCIe 8-pin cables (adapter in box) OR 300 W or greater PCIe Gen 5 cable
Certain manufacturer models may use 1x PCIe 8-pin cable","1x PCIe 8-pin cables (adapter in box) OR
300 W or greater PCIe Gen 5 cable.
Certain manufacturer models may use 1x PCIe 8-pin cable","1x PCIe 8-pin cables (adapter in box) OR
300 W or greater PCIe Gen 5 cable.
Certain manufacturer models may use 1x PCIe 6-pin cable or 1x PCIe 8-pin cable"
